n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
187	32882016	178571.7	31890133	33219880	32432478	32565751	32649824	32759151	32815418	32873696	32915924	32951370	32984564	33026133	33076079	33113748	33135251
188	33602648	185377.5	32534369	33953673	33081944	33256912	33369494	33481937	33547279	33591396	33633026	33671483	33710493	33751038	33799063	33836034	33860650
189	34328806	183093.3	33272202	34689130	33801867	33989038	34086329	34206383	34266737	34316787	34360910	34397702	34438093	34476561	34526718	34574558	34588412
190	35073562	172850.7	33713374	35432014	34664863	34747844	34843195	34952917	35004687	35048106	35093128	35142040	35175772	35209846	35267806	35312089	35334595
191	35822274	180196.1	34835514	36181026	35342408	35488849	35585307	35692373	35751071	35811515	35850253	35885940	35923754	35966575	36029322	36068482	36092533
192	36579379	190403	35716716	36968055	36075239	36222191	36327892	36439300	36513476	36558832	36611915	36657821	36696717	36736153	36779518	36821027	36858231
193	37355758	193026.9	36229258	37738450	36828528	37006242	37109811	37221503	37289509	37340408	37387049	37430195	37471937	37511975	37565341	37600770	37621313
194	38138896	198127.7	37036574	38553895	37624931	37760955	37867506	38002389	38065923	38123196	38174644	38219489	38255160	38293984	38355229	38398088	38435892
195	38933685	201541.6	38120880	39309698	38391075	38535827	38673177	38794189	38873351	38925848	38970758	39010020	39049564	39097439	39155553	39191998	39211880
196	39753059	199844.9	38852099	40097066	39242183	39363570	39477288	39610641	39683776	39740742	39788391	39830340	39878697	39924468	39970213	40011966	40039091
197	40575380	201279.2	39584488	41015685	40061916	40208706	40296361	40422471	40503505	40559000	40606334	40655233	40696413	40741051	40803553	40839660	40860337
198	41417570	197595.7	40356965	41760168	40912611	41027110	41157361	41277343	41346123	41405154	41452019	41492758	41533155	41582283	41637161	41674234	41695103
199	42264385	205159.7	41435728	42709917	41725567	41853002	41973173	42115455	42199064	42255922	42305821	42343031	42384907	42432001	42489491	42531115	42549291
200	43131590	205257.2	42054756	43488929	42575200	42746066	42857386	42977585	43061033	43118695	43163445	43210084	43256507	43302515	43358364	43401096	43422646
201	43999272	208284.5	42853358	44425250	43451752	43628622	43740154	43844046	43916088	43970387	44036624	44082887	44130241	44173558	44226652	44264967	44291942
202	44890812	217937.2	43645446	45323513	44278758	44450245	44607157	44743447	44821790	44874729	44937653	44978886	45024095	45064001	45115906	45160556	45177148
203	45786276	237600.7	44009076	46249372	45142499	45344565	45493095	45645361	45716505	45773998	45828178	45869821	45917257	45974022	46034188	46075252	46104099
204	46710757	213738.5	45690393	47183559	46138312	46313543	46445494	46551745	46632379	46690420	46750407	46789896	46835426	46889764	46953748	46999539	47014666
